========================================================================
BrowseComp+ Offline Retrieval Evaluation — flat
Generated: 2026-07-09 18:20
Questions: 830   Max-K: 50
========================================================================

AGGREGATE METRICS
----------------------------------------
  Avg latency  : 0.16s
  Gold MRR     : 0.2384
  Evid MRR     : 0.3633

  K         GoldR@K    EvidR@K   GoldNDCG@K
  ------  ---------  ---------  -----------
  1          0.0722     0.0540       0.1542
  3          0.1426     0.1146       0.1559
  5          0.1867     0.1475       0.1677
  10         0.2578     0.2054       0.1936
  20         0.3367     0.2801       0.2207
  50         0.4498     0.3862       0.2504

========================================================================
PER-QUESTION RESULTS
========================================================================
  Q001  GoldR@10=0.200  EvidR@10=0.167  NDCG@10=0.339  MRR=1.000  lat=0.9s  #gold=5  #evid=6
  Q002  GoldR@10=0.500  EvidR@10=0.222  NDCG@10=0.376  MRR=0.500  lat=0.2s  #gold=4  #evid=9
  Q003  GoldR@10=0.333  EvidR@10=0.167  NDCG@10=0.235  MRR=0.333  lat=0.2s  #gold=3  #evid=6
  Q004  GoldR@10=0.000  EvidR@10=0.600  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=5
  Q005  GoldR@10=0.500  EvidR@10=0.667  NDCG@10=0.193  MRR=0.125  lat=0.1s  #gold=2  #evid=3
  Q006  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=6  #evid=7
  Q007  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=6
  Q008  GoldR@10=0.000  EvidR@10=0.333  NDCG@10=0.000  MRR=0.036  lat=0.2s  #gold=1  #evid=6
  Q009  GoldR@10=0.667  EvidR@10=0.500  NDCG@10=0.359  MRR=0.250  lat=0.2s  #gold=3  #evid=4
  Q010  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=3
  Q011  GoldR@10=0.333  EvidR@10=0.333  NDCG@10=0.469  MRR=1.000  lat=0.2s  #gold=3  #evid=3
  Q012  GoldR@10=0.500  EvidR@10=0.200  NDCG@10=0.264  MRR=0.250  lat=0.2s  #gold=2  #evid=5
  Q013  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=4
  Q014  GoldR@10=0.333  EvidR@10=0.333  NDCG@10=0.156  MRR=0.143  lat=0.1s  #gold=3  #evid=3
  Q015  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=9
  Q016  GoldR@10=0.250  EvidR@10=0.286  NDCG@10=0.113  MRR=0.100  lat=0.2s  #gold=4  #evid=7
  Q017  GoldR@10=1.000  EvidR@10=0.500  NDCG@10=1.000  MRR=1.000  lat=0.2s  #gold=1  #evid=2
  Q018  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.038  lat=0.2s  #gold=7  #evid=8
  Q019  GoldR@10=0.000  EvidR@10=0.600  NDCG@10=0.000  MRR=0.059  lat=0.2s  #gold=1  #evid=5
  Q020  GoldR@10=1.000  EvidR@10=0.333  NDCG@10=0.315  MRR=0.125  lat=0.1s  #gold=1  #evid=3
  Q021  GoldR@10=1.000  EvidR@10=0.500  NDCG@10=0.431  MRR=0.250  lat=0.2s  #gold=1  #evid=2
  Q022  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=5
  Q023  GoldR@10=0.667  EvidR@10=0.667  NDCG@10=0.672  MRR=1.000  lat=0.1s  #gold=6  #evid=6
  Q024  GoldR@10=0.333  EvidR@10=0.111  NDCG@10=0.141  MRR=0.111  lat=0.2s  #gold=3  #evid=9
  Q025  GoldR@10=0.333  EvidR@10=0.200  NDCG@10=0.296  MRR=0.500  lat=0.2s  #gold=3  #evid=5
  Q026  GoldR@10=0.250  EvidR@10=0.111  NDCG@10=0.139  MRR=0.167  lat=0.2s  #gold=4  #evid=9
  Q027  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=3  #evid=9
  Q028  GoldR@10=0.500  EvidR@10=0.200  NDCG@10=0.613  MRR=1.000  lat=0.1s  #gold=2  #evid=10
  Q029  GoldR@10=0.000  EvidR@10=0.111  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=2  #evid=9
  Q030  GoldR@10=1.000  EvidR@10=0.250  NDCG@10=0.431  MRR=0.250  lat=0.2s  #gold=1  #evid=4
  Q031  GoldR@10=0.500  EvidR@10=0.167  NDCG@10=0.613  MRR=1.000  lat=0.2s  #gold=2  #evid=6
  Q032  GoldR@10=1.000  EvidR@10=0.250  NDCG@10=1.000  MRR=1.000  lat=0.1s  #gold=1  #evid=4
  Q033  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=5
  Q034  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.059  lat=0.2s  #gold=6  #evid=9
  Q035  GoldR@10=0.500  EvidR@10=0.444  NDCG@10=0.274  MRR=0.200  lat=0.1s  #gold=4  #evid=9
  Q036  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=9
  Q037  GoldR@10=1.000  EvidR@10=0.400  NDCG@10=0.431  MRR=0.250  lat=0.2s  #gold=1  #evid=5
  Q038  GoldR@10=0.500  EvidR@10=0.500  NDCG@10=0.237  MRR=0.200  lat=0.1s  #gold=2  #evid=4
  Q039  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.042  lat=0.1s  #gold=1  #evid=3
  Q040  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.059  lat=0.2s  #gold=4  #evid=9
  Q041  GoldR@10=0.500  EvidR@10=0.400  NDCG@10=0.613  MRR=1.000  lat=0.2s  #gold=2  #evid=5
  Q042  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=8
  Q043  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=6
  Q044  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.029  lat=0.2s  #gold=2  #evid=8
  Q045  GoldR@10=0.000  EvidR@10=0.167  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=6
  Q046  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.027  lat=0.2s  #gold=2  #evid=6
  Q047  GoldR@10=0.000  EvidR@10=0.222  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=9
  Q048  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.042  lat=0.1s  #gold=5  #evid=7
  Q049  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=6  #evid=7
  Q050  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=10
  Q051  GoldR@10=0.000  EvidR@10=0.111  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=9
  Q052  GoldR@10=0.750  EvidR@10=0.600  NDCG@10=0.654  MRR=1.000  lat=0.2s  #gold=4  #evid=5
  Q053  GoldR@10=0.000  EvidR@10=0.429  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=7
  Q054  GoldR@10=0.000  EvidR@10=0.167  NDCG@10=0.000  MRR=0.077  lat=0.1s  #gold=4  #evid=6
  Q055  GoldR@10=0.500  EvidR@10=0.200  NDCG@10=0.237  MRR=0.200  lat=0.2s  #gold=2  #evid=5
  Q056  GoldR@10=0.500  EvidR@10=0.333  NDCG@10=0.613  MRR=1.000  lat=0.2s  #gold=2  #evid=3
  Q057  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=8
  Q058  GoldR@10=0.444  EvidR@10=0.500  NDCG@10=0.393  MRR=0.333  lat=0.2s  #gold=9  #evid=10
  Q059  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.067  lat=0.1s  #gold=1  #evid=2
  Q060  GoldR@10=1.000  EvidR@10=0.500  NDCG@10=0.500  MRR=0.333  lat=0.2s  #gold=1  #evid=8
  Q061  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=4  #evid=4
  Q062  GoldR@10=0.250  EvidR@10=0.250  NDCG@10=0.246  MRR=0.500  lat=0.2s  #gold=4  #evid=4
  Q063  GoldR@10=1.000  EvidR@10=0.778  NDCG@10=0.774  MRR=0.500  lat=0.2s  #gold=5  #evid=9
  Q064  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=6
  Q065  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=4  #evid=10
  Q066  GoldR@10=0.500  EvidR@10=0.250  NDCG@10=0.586  MRR=1.000  lat=0.2s  #gold=4  #evid=8
  Q067  GoldR@10=0.000  EvidR@10=0.250  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=4  #evid=8
  Q068  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=3
  Q069  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=9
  Q070  GoldR@10=0.000  EvidR@10=0.250  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=4
  Q071  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=8
  Q072  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.091  lat=0.2s  #gold=8  #evid=9
  Q073  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=4
  Q074  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.067  lat=0.1s  #gold=2  #evid=3
  Q075  GoldR@10=1.000  EvidR@10=0.400  NDCG@10=1.000  MRR=1.000  lat=0.2s  #gold=1  #evid=5
  Q076  GoldR@10=0.500  EvidR@10=0.500  NDCG@10=0.508  MRR=1.000  lat=0.1s  #gold=4  #evid=4
  Q077  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.048  lat=0.1s  #gold=7  #evid=9
  Q078  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=8
  Q079  GoldR@10=1.000  EvidR@10=0.667  NDCG@10=0.877  MRR=1.000  lat=0.1s  #gold=2  #evid=3
  Q080  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.053  lat=0.2s  #gold=4  #evid=5
  Q081  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=7
  Q082  GoldR@10=0.000  EvidR@10=0.167  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=6
  Q083  GoldR@10=0.667  EvidR@10=0.400  NDCG@10=0.626  MRR=1.000  lat=0.1s  #gold=3  #evid=5
  Q084  GoldR@10=0.000  EvidR@10=0.125  NDCG@10=0.000  MRR=0.091  lat=0.2s  #gold=6  #evid=8
  Q085  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.033  lat=0.2s  #gold=3  #evid=5
  Q086  GoldR@10=0.000  EvidR@10=0.600  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=1  #evid=5
  Q087  GoldR@10=0.714  EvidR@10=0.714  NDCG@10=0.802  MRR=1.000  lat=0.2s  #gold=7  #evid=7
  Q088  GoldR@10=0.500  EvidR@10=0.500  NDCG@10=0.613  MRR=1.000  lat=0.1s  #gold=2  #evid=4
  Q089  GoldR@10=0.000  EvidR@10=0.333  NDCG@10=0.000  MRR=0.000  lat=0.1s  #gold=2  #evid=3
  Q090  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.062  lat=0.2s  #gold=2  #evid=4
  Q091  GoldR@10=0.333  EvidR@10=0.333  NDCG@10=0.282  MRR=0.333  lat=0.2s  #gold=6  #evid=6
  Q092  GoldR@10=0.833  EvidR@10=0.833  NDCG@10=0.807  MRR=1.000  lat=0.2s  #gold=6  #evid=6
  Q093  GoldR@10=0.333  EvidR@10=0.333  NDCG@10=0.231  MRR=0.250  lat=0.1s  #gold=6  #evid=6
  Q094  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=3  #evid=8
  Q095  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=2
  Q096  GoldR@10=0.333  EvidR@10=0.250  NDCG@10=0.296  MRR=0.500  lat=0.2s  #gold=3  #evid=4
  Q097  GoldR@10=0.571  EvidR@10=0.444  NDCG@10=0.638  MRR=1.000  lat=0.1s  #gold=7  #evid=9
  Q098  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=2  #evid=7
  Q099  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.034  lat=0.1s  #gold=3  #evid=4
  Q100  GoldR@10=0.400  EvidR@10=0.400  NDCG@10=0.460  MRR=1.000  lat=0.2s  #gold=5  #evid=5
  Q101  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=5
  Q102  GoldR@10=0.286  EvidR@10=0.250  NDCG@10=0.448  MRR=1.000  lat=0.2s  #gold=7  #evid=8
  Q103  GoldR@10=0.000  EvidR@10=0.000  NDCG@10=0.000  MRR=0.000  lat=0.2s  #gold=1  #evid=6
